date,rating,create,care,talk,move,work,read,write
11/27/20,3,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,
11/28/20,3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,
11/29/20,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
11/30/20,3,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,
12/1/20,4,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,
12/2/20,3,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,
12/3/20,4,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,
12/4/20,4,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,
12/5/20,4,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,
12/6/20,3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,
12/7/20,3,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,
12/8/20,4,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,
12/9/20,3,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,
12/10/20,4,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,
12/11/20,4,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,
12/12/20,5,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,
12/13/20,4,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,
12/14/20,4,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,
12/15/20,4,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,
12/16/20,4,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,
12/17/20,3,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,
12/18/20,3,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,
12/19/20,3,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,
12/20/20,5,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,
12/21/20,4,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,
12/22/20,3,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,
12/23/20,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
12/24/20,4,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,
12/25/20,5,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,
12/26/20,5,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,
12/27/20,3,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,
12/28/20,4,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,
12/29/20,5,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,
12/30/20,5,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,
12/31/20,5,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,
